"variable_id"	"Alignment.ID"	"rt"	"mz"	"Compound.name"	"Adduct"	"Post_curation_result"	"zero_freq"	"zero_freq.1"	"zero_freq.2"	"zero_freq.3"	"zero_freq.4"	"note"	"All_identifications"	"lipid_class"
"1"	"lipid_1"	628	259.56	675.54486	"SM d32:1"	"[M+H]+"	"found in higher mz's MsMs_1701; found in higher mz's MsMs_1643; found in higher mz's MsMs_1343"	0	0	0	0	0	"[MS2 confirm]"	"SM d32:1; SM d18:0/14:1"	"SM"
"2"	"lipid_2"	712	374.94	705.5918	"SM d34:0"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"SM d34:0; SM d18:0/16:0"	"SM"
"3"	"lipid_3"	589	297.72	662.5097	"LPC 28:1"	"[M+H]+"	"ion correlated with 1316"	0	0	0	0	0	NA	"LPC 28:1"	"LPC"
"4"	"lipid_4"	221	72.48	419.27716	"RIKEN P-VS1 ID-2862 from Mouse_Aorta_ApoEKO_N_F1DHA"	"[M+H]+"	"similar chromatogram in higher mz_260"	0	0	0	0	0	"w/o MS2"	"RIKEN P-VS1 ID-2862 from Mouse_Aorta_ApoEKO_N_F1DHA"	"RIKEN"
"5"	"lipid_5"	233	99.12	428.37387	"CAR 18:0"	"[M+H]+"	"found in higher mz's MsMs_725; found in higher mz's MsMs_659"	0	0	0	0	0	"[MS2 confirm]"	"CAR 18:0"	"CAR"
"6"	"lipid_6"	1688	920.7	954.79114	"PC 24:1_24:1"	"[M+H]+"	"adduct linked to 1753_[M+CH3OH+H]+"	0	0	0	0	0	"w/o MS2"	"PC 24:1_24:1"	"PC"
"7"	"lipid_7"	1350	805.74	841.716	"SM d44:2"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"SM d44:2; SM d18:1/26:1"	"SM"
"8"	"lipid_8"	217	84.36	414.35904	"DG O-16:2_5:0"	"[M+H]+"	NA	0	0	0	0	0	"w/o MS2"	"DG O-16:2_5:0"	"DG"
"9"	"lipid_9"	893	338.82	752.55664	"PC O-35:5"	"[M+H]+"	NA	0	0	0	0	0	NA	"PC O-35:5"	"PC"
"10"	"lipid_10"	1627	968.7	930.84973	"TAG 56:3"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"TAG 56:3|TAG 18:1_18:1_20:1 +[M+NH4]+"	"TAG"
"11"	"lipid_11"	1067	338.04	786.54163	"PC O-38:9"	"[M+H]+"	NA	0	0	0	0	0	NA	"PC O-38:9"	"PC"
