"original","standardized","status"
"SM d32:1","SM(d32:1)","Modified"
"SM d34:0","SM(d34:0)","Modified"
"LPC 28:1","LPC(28:1)","Modified"
"RIKEN P-VS1 ID-2862 from Mouse_Aorta_ApoEKO_N_F1DHA",NA,"Skipped"
"CAR 18:0","CAR(18:0)","Modified"
"PC 24:1_24:1","PC(24:1/24:1)","Modified"
"SM d44:2","SM(d44:2)","Modified"
"DG O-16:2_5:0","DGO-(DGO-16:2/5:0)","Modified"
"PC O-35:5","PCO-(PCO-35:5)","Modified"
"TAG 56:3","TG(56:3)","Modified"
"PC O-38:9","PCO-(PCO-38:9)","Modified"
"RIKEN P-VS1 ID-8150 from Mouse_Muscle_WT_N_F1AA",NA,"Skipped"
"TAG 55:3","TG(55:3)","Modified"
"TAG 54:2","TG(54:2)","Modified"
"HexCer 8:0","HexCer8:0","Modified"
"TAG 57:4","TG(57:4)","Modified"
"RIKEN P-VS1 ID-16563 from Mouse_Kidney_WT_N_F1DHA",NA,"Skipped"
"RIKEN P-VS1 ID-15091 from Mouse_Liver_WT_N_F1DHA",NA,"Skipped"
"RIKEN P-VS1 ID-3692 from Mouse_Aorta_ApoEKO_N_F1DHA",NA,"Skipped"
"RIKEN P-VS1 ID-9327 from Mouse_Lung_WT_N_F1AA",NA,"Skipped"
"TAG 51:1","TG(51:1)","Modified"
"CE 24:5","CE(24:5)","Modified"
"RIKEN P-VS1 ID-14960 from Mouse_Spleen_WT_N_F1DHA",NA,"Skipped"
"PI 40:6","PI(40:6)","Modified"
"DG 36:4","DG(36:4)","Modified"
"BMP 42:10","BMP(42:10)","Modified"
"HBMP 48:0","HBMP(48:0)","Modified"
"PC 40:8","PC(40:8)","Modified"
"TAG 53:2","TG(53:2)","Modified"
"TAG 47:1","TG(47:1)","Modified"
"PC 40:7","PC(40:7)","Modified"
"DGGA 27:0_22:5","DGGA(27:0/22:5)","Modified"
"SM 40:4","SM(40:4)","Modified"
"TAG 49:1","TG(49:1)","Modified"
"TAG 58:5","TG(58:5)","Modified"
"DAG 38:4 (interference)",NA,"Skipped"
"SM 30:3","SM(30:3)","Modified"
"PC O-38:6","PCO-(PCO-38:6)","Modified"
"SM d36:1","SM(d36:1)","Modified"
"RIKEN P-VS1 ID-14156 from Mouse_Kidney_WT_N_F1AA",NA,"Skipped"
"PC O-37:6","PCO-(PCO-37:6)","Modified"
"PC 35:4","PC(35:4)","Modified"
"SM 32:0","SM(32:0)","Modified"
"DGCC 44:11_44:12","DGCC(44:11/44:12)","Modified"
"HBMP 14:0_16:1_18:1","HBMP(14:0/16:1/18:1)","Modified"
